ID,Age,toy_type,value,toy_size,toy_weight
15,24,small-heavy,0,small,heavy
16,24,small-heavy,0,small,heavy
24,24,small-heavy,0,small,heavy
30,24,small-heavy,0,small,heavy
31,24,small-heavy,0,small,heavy
32,24,small-heavy,0,small,heavy
34,24,small-heavy,0,small,heavy
37,24,small-heavy,0,small,heavy
38,24,small-heavy,0,small,heavy
40,24,small-heavy,0,small,heavy
42,24,small-heavy,0,small,heavy
43,24,small-heavy,0,small,heavy
45,24,small-heavy,0,small,heavy
5,12,med-light,0,med,light
11,12,med-light,1,med,light
12,12,med-light,0,med,light
13,12,med-light,0,med,light
17,12,med-light,0,med,light
18,12,med-light,1,med,light
19,12,med-light,0,med,light
21,12,med-light,0,med,light
22,12,med-light,1,med,light
24,12,med-light,0,med,light
25,12,med-light,0,med,light
29,12,med-light,0,med,light
30,12,med-light,0,med,light
31,12,med-light,0,med,light
32,12,med-light,0,med,light
34,12,med-light,0,med,light
2,24,med-light,0,med,light
3,24,med-light,0,med,light
9,24,med-light,2,med,light
10,24,med-light,5,med,light
11,24,med-light,0,med,light
12,24,med-light,0,med,light
13,24,med-light,0,med,light
15,24,med-light,1,med,light
16,24,med-light,0,med,light
24,24,med-light,1,med,light
30,24,med-light,1,med,light
31,24,med-light,3,med,light
32,24,med-light,0,med,light
34,24,med-light,2,med,light
37,24,med-light,3,med,light
38,24,med-light,0,med,light
40,24,med-light,2,med,light
42,24,med-light,1,med,light
43,24,med-light,0,med,light
45,24,med-light,0,med,light
5,12,med-mod,0,med,mod
11,12,med-mod,0,med,mod
12,12,med-mod,0,med,mod
13,12,med-mod,0,med,mod
17,12,med-mod,0,med,mod
18,12,med-mod,0,med,mod
19,12,med-mod,0,med,mod
21,12,med-mod,0,med,mod
22,12,med-mod,0,med,mod
24,12,med-mod,0,med,mod
25,12,med-mod,0,med,mod
29,12,med-mod,0,med,mod
30,12,med-mod,0,med,mod
31,12,med-mod,0,med,mod
32,12,med-mod,0,med,mod
34,12,med-mod,0,med,mod
2,24,med-mod,0,med,mod
3,24,med-mod,0,med,mod
9,24,med-mod,0,med,mod
10,24,med-mod,0,med,mod
11,24,med-mod,0,med,mod
12,24,med-mod,0,med,mod
13,24,med-mod,0,med,mod
15,24,med-mod,0,med,mod
16,24,med-mod,0,med,mod
24,24,med-mod,0,med,mod
30,24,med-mod,0,med,mod
31,24,med-mod,0,med,mod
32,24,med-mod,3,med,mod
34,24,med-mod,0,med,mod
37,24,med-mod,0,med,mod
38,24,med-mod,0,med,mod
40,24,med-mod,0,med,mod
42,24,med-mod,0,med,mod
43,24,med-mod,0,med,mod
45,24,med-mod,0,med,mod
5,12,med-heavy,0,med,heavy
11,12,med-heavy,0,med,heavy
12,12,med-heavy,0,med,heavy
13,12,med-heavy,0,med,heavy
17,12,med-heavy,0,med,heavy
18,12,med-heavy,0,med,heavy
19,12,med-heavy,0,med,heavy
21,12,med-heavy,0,med,heavy
22,12,med-heavy,0,med,heavy
24,12,med-heavy,0,med,heavy
25,12,med-heavy,0,med,heavy
29,12,med-heavy,2,med,heavy
30,12,med-heavy,0,med,heavy
31,12,med-heavy,0,med,heavy
32,12,med-heavy,0,med,heavy
34,12,med-heavy,0,med,heavy
2,24,med-heavy,0,med,heavy
3,24,med-heavy,0,med,heavy
9,24,med-heavy,0,med,heavy
10,24,med-heavy,0,med,heavy
11,24,med-heavy,0,med,heavy
12,24,med-heavy,0,med,heavy
13,24,med-heavy,0,med,heavy
15,24,med-heavy,0,med,heavy
16,24,med-heavy,0,med,heavy
24,24,med-heavy,0,med,heavy
30,24,med-heavy,0,med,heavy
31,24,med-heavy,0,med,heavy
32,24,med-heavy,0,med,heavy
34,24,med-heavy,0,med,heavy
37,24,med-heavy,0,med,heavy
38,24,med-heavy,0,med,heavy
40,24,med-heavy,0,med,heavy
42,24,med-heavy,0,med,heavy
43,24,med-heavy,0,med,heavy
45,24,med-heavy,0,med,heavy
5,12,large-light,0,large,light
11,12,large-light,0,large,light
12,12,large-light,0,large,light
13,12,large-light,0,large,light
17,12,large-light,0,large,light
18,12,large-light,0,large,light
19,12,large-light,0,large,light
21,12,large-light,1,large,light
22,12,large-light,0,large,light
24,12,large-light,0,large,light
25,12,large-light,0,large,light
29,12,large-light,0,large,light
30,12,large-light,0,large,light
31,12,large-light,0,large,light
32,12,large-light,0,large,light
34,12,large-light,0,large,light
2,24,large-light,0,large,light
3,24,large-light,0,large,light
9,24,large-light,1,large,light
10,24,large-light,0,large,light
11,24,large-light,0,large,light
12,24,large-light,0,large,light
13,24,large-light,0,large,light
15,24,large-light,0,large,light
16,24,large-light,0,large,light
24,24,large-light,0,large,light
30,24,large-light,0,large,light
31,24,large-light,0,large,light
32,24,large-light,0,large,light
34,24,large-light,0,large,light
37,24,large-light,1,large,light
38,24,large-light,1,large,light
40,24,large-light,0,large,light
42,24,large-light,0,large,light
43,24,large-light,1,large,light
45,24,large-light,0,large,light
5,12,large-mod,0,large,mod
11,12,large-mod,0,large,mod
12,12,large-mod,0,large,mod
13,12,large-mod,1,large,mod
17,12,large-mod,0,large,mod
18,12,large-mod,0,large,mod
19,12,large-mod,0,large,mod
21,12,large-mod,0,large,mod
22,12,large-mod,0,large,mod
24,12,large-mod,0,large,mod
25,12,large-mod,1,large,mod
29,12,large-mod,0,large,mod
30,12,large-mod,0,large,mod
31,12,large-mod,0,large,mod
32,12,large-mod,1,large,mod
34,12,large-mod,0,large,mod
2,24,large-mod,1,large,mod
3,24,large-mod,0,large,mod
9,24,large-mod,0,large,mod
10,24,large-mod,0,large,mod
11,24,large-mod,0,large,mod
12,24,large-mod,0,large,mod
13,24,large-mod,0,large,mod
15,24,large-mod,0,large,mod
16,24,large-mod,0,large,mod
24,24,large-mod,0,large,mod
30,24,large-mod,0,large,mod
31,24,large-mod,0,large,mod
32,24,large-mod,1,large,mod
34,24,large-mod,0,large,mod
37,24,large-mod,0,large,mod
38,24,large-mod,0,large,mod
40,24,large-mod,0,large,mod
42,24,large-mod,0,large,mod
43,24,large-mod,1,large,mod
45,24,large-mod,1,large,mod
5,12,large-heavy,1,large,heavy
11,12,large-heavy,0,large,heavy
12,12,large-heavy,0,large,heavy
13,12,large-heavy,0,large,heavy
17,12,large-heavy,0,large,heavy
18,12,large-heavy,0,large,heavy
19,12,large-heavy,1,large,heavy
21,12,large-heavy,0,large,heavy
22,12,large-heavy,0,large,heavy
24,12,large-heavy,0,large,heavy
25,12,large-heavy,0,large,heavy
29,12,large-heavy,0,large,heavy
30,12,large-heavy,1,large,heavy
31,12,large-heavy,0,large,heavy
32,12,large-heavy,1,large,heavy
34,12,large-heavy,0,large,heavy
2,24,large-heavy,1,large,heavy
3,24,large-heavy,0,large,heavy
9,24,large-heavy,0,large,heavy
10,24,large-heavy,0,large,heavy
11,24,large-heavy,0,large,heavy
12,24,large-heavy,2,large,heavy
13,24,large-heavy,0,large,heavy
15,24,large-heavy,1,large,heavy
16,24,large-heavy,1,large,heavy
24,24,large-heavy,1,large,heavy
30,24,large-heavy,2,large,heavy
31,24,large-heavy,0,large,heavy
32,24,large-heavy,0,large,heavy
34,24,large-heavy,0,large,heavy
37,24,large-heavy,0,large,heavy
38,24,large-heavy,0,large,heavy
40,24,large-heavy,1,large,heavy
42,24,large-heavy,0,large,heavy
43,24,large-heavy,0,large,heavy
45,24,large-heavy,0,large,heavy
