TRT,YR,ST,REP,Total Available Nitrogen (TAN),Available Inorganic Nitrogen (AIN),Mineralized Organic Nitrogen (biological N),Total Available Nitrogen (WEN),Water Extractable Organic Nitrogen (WEON),Total Inorganic Nitrogen (TIN),NO3-N,NH4-N, $ of Nitrogen Saved ,Total Available P as P2O5,Total Available Phosphorus as P,Available Inorganic P as P2O5 ,Available Inorganic P,Mineralized Organic P as P2O5,Mineralized Organic P as P,Available Potassium as K2O,Available Potassium as K, NPK Value as $/a ,One day respiration (Solvita CO2-C),Water Extractable Organic Carbon (WEOC),Organic C:N ratio,Organic N:P ratio,% Microbially Active Carbon,Soil Health Calculation,Aluminum,Iron,Calcium,Magnesium,Sodium,Sulfur as S,Boron,Manganese,Copper,Zinc,Calcium + Magnesium / Aluminum,% P Saturation Iron + Aluminum,% P Saturation Calcium,Ca:Mg,Plant Effective CEC (PECEC),Ca Need,Ca,Mg
5,1,1,1,84.6,50.6,34,42.3,17,25.3,19.8,5.5,18.37,82.1,17.9,72.4,15.8,9.7,2.1,144,59.8,173.13,46.8,145.1,8.5,7.7,32.3,9.3,28,15,509,78,11,5,0.23,1,0.31,0.59,20.96,36.7,3.1,6.53,3.5,-66.2,72.7,11.1
5,1,1,2,72,33.2,38.8,36.5,19.9,16.6,14.4,2.2,20.95,36.7,8,24.3,5.3,12.4,2.7,91.2,37.9,109.77,37.2,152.7,7.7,5.4,24.4,8.8,27,12,434,60,9,4,0.22,1,0.21,0.4,18.3,13.6,1.2,7.23,2.91,-77.7,74.7,10.3
5,1,1,3,78,47.4,30.6,39,15.3,23.7,19.9,3.8,16.53,45,9.8,39.8,8.7,5.2,1.1,117.6,48.8,132.08,44.3,153.5,10,11.8,28.9,9,30,10,510,82,10,4,0.26,1,0.2,0.4,19.73,21.8,1.7,6.22,3.51,-64.6,72.6,11.7
6,1,1,1,52.8,32.8,20,41.4,25,16.4,13.2,3.2,10.78,51.4,11.2,49.9,10.9,1.5,0.3,88.8,36.9,107.59,16.1,161.3,6.4,22.7,10,7.3,32,10,447,74,10,4,0.24,1,0.2,0.4,16.28,26,2.4,6.04,3.11,-48.8,71.9,11.9
6,1,1,2,64.1,48.4,15.7,33.7,9.5,24.2,21.2,3,8.5,47,10.3,33.9,7.4,13.1,2.9,136.8,56.8,135.84,30.8,148.8,15.6,2.1,20.7,7,33,13,526,80,11,5,0.25,1,0.22,0.6,18.36,16.1,1.4,6.57,3.61,-69.6,72.8,11.1
6,1,1,3,72.2,40.4,31.8,41.8,21.6,20.2,15.6,4.6,17.15,29,6.3,25.2,5.5,3.8,0.8,103.2,42.8,111.18,29.1,158.4,7.3,14.4,18.4,8.2,41,12,587,94,11,4,0.29,2,0.2,0.48,16.61,10.4,0.9,6.24,4.03,-78.7,72.9,11.7
7,1,1,1,68.1,39.2,28.9,38.9,19.3,19.6,17.2,2.4,15.62,25.5,5.6,22.9,5,2.6,0.6,81.6,33.9,95.52,31.3,167.2,8.7,19.3,18.7,8.4,32,13,465,76,11,5,0.23,1,0.24,0.4,16.91,11.1,1.1,6.12,3.21,-56.7,72.4,11.8
7,1,1,2,71.8,40,31.8,39.2,19.2,20,18.5,1.5,17.18,28.1,6.1,21.5,4.7,6.5,1.4,88.8,36.9,102.91,30.9,149.3,7.8,8.4,20.7,8,36,12,552,81,11,5,0.27,1,0.2,0.43,17.58,9.8,0.9,6.81,3.71,-95,74.4,10.9
7,1,1,3,80.6,48,32.6,40.3,16.3,24,19.6,4.4,17.61,55.9,12.2,41.2,9,14.7,3.2,132,54.8,147.94,43.2,162,9.9,4.1,26.7,9.2,41,21,586,89,12,5,0.32,2,0.2,0.42,16.46,14.5,1.5,6.58,4.02,-79.9,73,11.1
8,1,1,1,77.1,37.2,39.9,49.5,30.9,18.6,16.7,1.9,21.52,41.1,9,36.6,8,4.4,1,93.6,38.9,116.56,29.3,181.8,5.9,15.5,16.1,9.7,44,11,586,97,11,5,0.31,1,0.2,0.4,15.52,14.5,1.4,6.04,4.05,-71.1,72.4,12
8,1,1,2,72.2,33.4,38.8,36.1,19.4,16.7,13.3,3.4,20.96,63,13.7,56.8,12.4,6.2,1.3,112.8,46.8,137.95,43.3,154.3,7.9,12.1,28.1,9.4,39,19,568,85,11,4,0.3,2,0.24,0.4,16.74,21.4,2.2,6.68,3.86,-86.2,73.6,11
8,1,1,3,62.7,36,26.7,39.2,21.2,18,15,3,14.44,28,6.1,24.3,5.3,3.7,0.8,117.6,48.8,112.92,22.9,145.3,6.9,12.5,15.8,7.3,36,14,453,77,11,4,0.2,1,0.2,0.4,14.72,10.6,1.2,5.88,3.21,-32.3,70.5,12
9,1,1,1,81.6,31.4,50.2,43.7,28,15.7,11.2,4.5,27.11,30.1,6.6,26.1,5.7,4,0.9,105.6,43.8,118.24,33.4,149.1,5.3,21.5,22.4,9.1,37,17,462,73,11,4,0.24,1,0.24,0.4,14.46,10.6,1.2,6.33,3.21,-49.6,71.9,11.4
9,1,1,2,69.2,38.8,30.4,34.6,15.2,19.4,16.6,2.8,16.43,75.7,16.5,68.2,14.9,7.4,1.6,132,54.8,154.45,41.5,161.1,10.6,7.2,25.8,8.9,28,15,476,73,11,5,0.26,2,0.21,0.62,19.61,34.7,3.1,6.52,3.28,-59.9,72.6,11.1
9,1,1,3,84,47.8,36.2,46.8,22.9,23.9,20.2,3.7,19.53,74.6,16.3,63.2,13.8,11.4,2.5,148.8,61.8,170.45,27.7,140.4,6.1,5.5,19.7,7.9,37,19,491,76,11,6,0.27,2,0.2,0.54,15.32,24.6,2.8,6.46,3.43,-48.8,71.6,11.1
10,1,1,1,84.7,35.6,49.1,52.3,34.5,17.8,14.4,3.4,26.52,48.7,10.6,46.7,10.2,2,0.4,91.2,37.9,124.32,26.1,146.7,4.3,43.1,17.8,5.9,45,11,580,111,11,5,0.32,1,0.25,0.4,15.36,18.2,1.8,5.23,4.14,-35.2,70.1,13.4
10,1,1,2,79.7,39.4,40.3,41.1,21.4,19.7,16.4,3.3,21.76,48.2,10.5,43.1,9.4,5.2,1.1,88.8,36.9,120.07,31.9,135.6,6.3,13.4,23.5,8,30,12,382,65,11,4,0.21,1,0.22,0.4,14.9,22.4,2.5,5.88,2.7,-28.4,70.6,12
10,1,1,3,96.6,29,67.6,48.3,33.8,14.5,12.3,2.2,36.51,22.8,5,22.4,4.9,0.4,0.1,105.6,43.8,121.69,37.3,134.5,4,338.1,27.7,6.8,42,16,454,85,11,4,0.26,1,0.23,0.4,12.83,8.4,1.1,5.34,3.29,-12.3,68.9,12.9
11,1,1,1,88.2,37.2,51,44.1,25.5,18.6,17.8,0.8,27.55,59,12.9,40.8,8.9,18.3,4,110.4,45.8,142.84,45.7,140.8,5.5,6.2,32.5,9.9,47,22,550,86,10,5,0.28,2,0.2,0.52,13.53,12.9,1.6,6.4,3.8,-66.3,72.4,11.3
11,1,1,2,117,53,64,58.5,32,26.5,23.4,3.1,34.57,63.4,13.8,59.1,12.9,4.3,0.9,124.8,51.8,168.66,49.8,174.7,5.5,29.1,28.5,11.7,34,18,492,81,11,5,0.24,2,0.23,0.46,16.85,24.8,2.6,6.07,3.44,-48.1,71.5,11.8
11,1,1,3,124.8,53,71.8,62.4,35.9,26.5,22.5,4,38.78,66.8,14.6,59.5,13,7.2,1.6,158.4,65.7,192.5,43.1,164,4.6,18,26.3,7.9,38,12,543,92,10,5,0.32,2,0.23,0.4,16.71,26,2.4,5.9,3.83,-43.2,70.8,12
12,1,1,1,85.9,43.2,42.7,64.7,43.1,21.6,19,2.6,23.04,56.1,12.2,54,11.8,2,0.4,93.6,38.9,130.94,23.2,187.5,4.3,35.9,12.4,6.5,40,10,612,111,12,5,0.35,1,0.21,0.4,18.08,23.6,1.9,5.51,4.28,-58.8,71.4,13
12,1,1,2,80,41.6,38.4,44.3,23.5,20.8,17.8,3,20.74,44.2,9.6,34.4,7.5,9.8,2.1,93.6,38.9,120.14,30.3,148.4,6.3,6.7,20.4,8.3,57,21,645,110,11,5,0.36,2,0.22,0.4,13.25,9.6,1.2,5.86,4.5,-66.4,71.7,12.2
12,1,1,3,79.6,41.8,37.8,39.8,18.9,20.9,17.4,3.5,20.42,55,12,52.2,11.4,2.7,0.6,136.8,56.8,149.31,48.8,142.5,7.5,31.5,34.2,9.6,38,15,477,74,12,5,0.27,2,0.23,0.4,14.5,21.5,2.4,6.45,3.34,-45.7,71.4,11.1
13,1,1,1,122.6,57.4,65.2,61.3,32.6,28.7,26,2.7,35.22,73.3,16,70.1,15.3,3.2,0.7,184.8,76.7,209.21,57.6,163.9,5,46.6,35.1,12.3,37,15,523,90,10,5,0.32,2,0.2,0.41,16.57,29.4,2.9,5.81,3.74,-28.3,69.9,12
13,1,1,2,135.4,41.6,93.8,67.7,46.9,20.8,16.7,4.1,50.66,82.4,18,72.8,15.9,9.6,2.1,139.2,57.8,198.27,55.1,155.1,3.3,22.3,35.5,9.1,24,13,445,71,11,5,0.26,1,0.24,0.49,21.5,43,3.6,6.27,3.1,-46.5,71.7,11.4
13,1,1,3,93.2,57.8,35.4,46.6,17.7,28.9,26.5,2.4,19.13,68.7,15,61.8,13.5,6.9,1.5,153.6,63.8,174.18,67.1,160.9,9.1,11.8,41.7,11.7,24,12,504,75,11,5,0.29,1,0.24,0.52,24.13,37.5,2.7,6.72,3.44,-71,73.2,10.9
1,1,2,1,88.6,68,20.6,59.1,25.1,34,30.5,3.5,11.11,46.6,10.2,44.9,9.8,1.7,0.4,247.2,102.6,206.18,15,146.5,5.8,20.9,10.2,6.9,22,14,368,39,15,5,0.29,3,0.27,0.51,18.5,27.2,2.7,9.44,2.57,-35.6,71.5,7.6
1,1,2,2,99.2,57.4,41.8,53.6,24.9,28.7,26.7,2,22.56,21.2,4.6,18.3,4,2.9,0.6,153.6,63.8,146.99,22.7,108.3,4.3,24.9,21,4.7,21,15,328,37,17,6,0.24,3,0.22,0.47,17.38,11.1,1.2,8.86,2.26,-40.4,72.5,8.2
1,1,2,3,91,78.8,12.2,48.4,9,39.4,35.9,3.5,6.61,24.8,5.4,22,4.8,2.8,0.6,201.6,83.7,169.86,16.7,98.3,10.9,7.5,17,4.5,22,16,301,40,17,6,0.2,4,0.32,0.44,15.5,12.6,1.6,7.53,2.21,-1.3,68.2,9.1
2,1,2,1,90.9,57.4,33.5,59.3,30.6,28.7,24.4,4.3,18.11,29.6,6.5,27.9,6.1,1.7,0.4,120,49.8,130.47,17.3,126.3,4.1,34,13.7,4.6,19,14,344,41,14,4,0.21,3,0.27,0.41,20.26,18.5,1.8,8.39,2.32,-56.8,74.1,8.8
2,1,2,2,105.5,59,46.5,55.9,26.4,29.5,26.7,2.8,25.1,61.5,13.4,56.3,12.3,5.1,1.1,146.4,60.8,172.43,25.5,115.9,4.4,15.5,22,5.1,21,15,281,32,13,4,0.2,3,0.23,0.4,14.9,34.2,4.4,8.78,1.96,-28.4,71.6,8.2
2,1,2,3,94.1,77,17.1,50.3,11.8,38.5,33.6,4.9,9.23,51.6,11.3,47.6,10.4,4,0.9,206.4,85.7,191.17,18.2,100.6,8.5,7.4,18.1,5,26,20,247,30,15,5,0.2,5,0.2,0.4,10.65,22.6,4.2,8.23,1.87,13.6,66.2,8
3,1,2,1,99.7,61.2,38.5,51.2,20.6,30.6,26.8,3.8,20.77,18,3.9,17.4,3.8,0.6,0.1,146.4,60.8,141.49,22.3,95.6,4.6,103,23.3,4.3,19,11,397,52,15,4,0.3,3,0.24,0.4,23.63,12.7,1,7.63,2.71,-57,73.3,9.6
3,1,2,2,96.2,74,22.2,48.5,11.5,37,31.4,5.6,11.96,27.4,6,27,5.9,0.3,0.1,108,44.8,125.59,25,103.9,9,115.1,24.1,5.7,20,14,396,45,15,5,0.26,3,0.21,0.42,22.05,17.4,1.5,8.8,2.61,-82.4,75.9,8.6
3,1,2,3,100.7,78.8,21.9,54.8,15.4,39.4,35.8,3.6,11.82,33,7.2,28.9,6.3,4.1,0.9,187.2,77.7,172.84,18.5,104.2,6.8,9.1,17.8,5.5,20,15,374,42,16,5,0.28,3,0.2,0.44,20.8,18,1.7,8.9,2.56,-50.9,73,8.2
4,1,2,1,85.6,65,20.6,58.8,26.3,32.5,30.6,1.9,11.11,34.7,7.6,32.1,7,2.7,0.6,151.2,62.8,147.07,10.7,109.5,4.2,13.2,9.8,3.5,20,13,365,45,52,5,0.22,3,0.2,0.44,20.5,21.2,1.9,8.11,2.66,-6.2,68.6,8.5
4,1,2,2,100.2,64.4,35.8,51.1,18.9,32.2,27.9,4.3,19.31,27.2,5.9,26.6,5.8,0.6,0.1,115.2,47.8,131.41,26.5,112.1,5.9,94.6,23.6,6.8,18,11,358,39,16,5,0.23,3,0.22,0.4,22.06,20,1.6,9.18,2.37,-70.4,75.4,8.2
4,1,2,3,95.6,74.6,21,47.8,10.5,37.3,34,3.3,11.35,21.9,4.8,18.3,4,3.6,0.8,122.4,50.8,129.3,24.9,95.7,9.1,10.5,26,5.5,19,13,317,40,18,5,0.2,3,0.2,0.4,18.79,12.5,1.3,7.93,2.2,-36.4,72.1,9.1
5,1,2,1,107.8,94.8,13,58.8,11.4,47.4,43.4,4,7.02,89.5,19.5,87.9,19.2,1.6,0.3,252,104.6,246.54,17.2,120.7,10.6,14.3,14.3,5.3,21,15,378,46,11,6,0.32,4,0.26,0.74,20.19,53.3,5.1,8.22,2.67,-30.5,70.9,8.6
5,1,2,2,132.1,102.6,29.5,69.4,18.1,51.3,48.4,2.9,15.93,77.1,16.8,68.7,15,8.4,1.8,228,94.6,239.23,25.1,123.3,6.8,6,20.4,6.8,20,13,377,43,10,6,0.25,3,0.26,0.5,21,45.5,4,8.77,2.6,-45.8,72.4,8.3
5,1,2,3,125.7,97,28.7,70.5,22,48.5,44.5,4,15.49,52.5,11.5,45.8,10,6.7,1.5,168,69.7,188.84,21.1,129.5,5.9,7.3,16.3,6.9,20,10,479,76,10,6,0.35,2,0.21,0.48,27.75,33.3,2.1,6.3,3.32,-53.7,72,11.4
6,1,2,1,122.9,106.6,16.3,66.2,12.9,53.3,49.5,3.8,8.81,53.3,11.6,47.6,10.4,5.6,1.2,177.6,73.7,192.82,18.9,119.7,9.3,5,15.8,5.6,20,14,435,52,11,14,0.31,3,0.22,0.4,24.35,30.6,2.4,8.37,2.92,-76,74.5,8.9
6,1,2,2,142.3,132.8,9.5,72.2,5.8,66.4,64.2,2.2,5.15,90.4,19.7,81.1,17.7,9.3,2,295.2,122.5,288.21,23.5,114.5,19.7,1.8,20.5,5.2,26,47,456,52,14,18,0.36,5,0.23,0.49,19.54,24.2,3.9,8.77,3.18,-45.7,71.6,8.2
6,1,2,3,166.6,129,37.6,83.3,18.8,64.5,58.7,5.8,20.31,67,14.6,48.1,10.5,18.9,4.1,280.8,116.6,278.89,36.7,119.8,6.4,4.2,30.6,7.9,23,44,338,45,13,16,0.23,19,0.27,0.55,16.65,15.7,3.1,7.51,2.51,5.6,67.4,9
7,1,2,1,90.5,90.2,0.3,45.3,0.2,45.1,41.3,3.8,0.16,54.7,11.9,54.5,11.9,0.2,0.1,254.4,105.6,216.19,19.9,112.3,534.8,2.1,17.7,4.3,22,18,342,42,10,5,0.21,4,0.24,0.49,17.45,29.8,3.5,8.14,2.46,-16,69.6,8.6
7,1,2,2,157.6,117.2,40.4,91.1,32.5,58.6,54.3,4.3,21.81,49.6,10.8,44.9,9.8,4.7,1,158.4,65.7,199.2,21,135.2,4.2,14.8,15.5,5.1,23,13,495,74,10,5,0.35,3,0.22,0.4,24.74,27.2,2,6.69,3.39,-68.3,73,10.9
7,1,2,3,117.9,116.2,1.7,59.4,1.3,58.1,54.4,3.7,0.92,74.4,16.2,66.9,14.6,7.6,1.6,242.4,100.6,237.34,19,117.5,89.7,0.4,16.2,4.4,23,15,314,42,11,6,0.2,4,0.22,0.44,15.48,38.4,4.6,7.48,2.31,0.6,67.9,9.1
8,1,2,1,128.8,58.2,70.6,77.8,48.7,29.1,24.8,4.3,38.14,58.1,12.7,56.3,12.3,1.7,0.4,180,74.7,200.34,20.1,110.9,2.3,69.6,18.1,4.7,27,11,664,60,11,5,0.4,2,0.23,0.4,26.81,32.4,1.9,11.07,4.16,-196.7,79.8,7.2
8,1,2,2,151.5,70.4,81.1,78.5,43.3,35.2,32.6,2.6,43.78,39.6,8.6,35.7,7.8,3.9,0.8,175.2,72.7,198.23,25.6,109.4,2.5,36.1,23.4,5.2,20,12,361,42,11,4,0.2,3,0.22,0.4,20.15,24.4,2.2,8.6,2.46,-52,73.3,8.5
8,1,2,3,151.4,75.8,75.6,90.2,52.3,37.9,33.8,4.1,40.8,48.1,10.5,45.3,9.9,2.7,0.6,141.6,58.8,186.13,19.3,106.9,2,47.6,18.1,4.6,20,14,500,63,12,5,0.32,3,0.2,0.4,28.15,29.1,2,7.94,3.3,-101.9,75.7,9.5
9,1,2,1,118.8,93.6,25.2,59.4,12.6,46.8,43.9,2.9,13.62,87,19,68.2,14.9,18.8,4.1,218.4,90.7,233.42,36.1,104.8,8.3,3.1,34.4,7,23,16,439,53,11,6,0.29,4,0.22,0.54,21.39,38.2,3.4,8.28,3,-61.4,73.1,8.8
9,1,2,2,117.4,100.4,17,64.4,14.2,50.2,45.2,5,9.18,78.4,17.1,71.4,15.6,7,1.5,292.8,121.5,265.85,15.9,106.3,7.5,4.2,15,5.1,21,14,434,49,10,7,0.33,3,0.2,2.71,23,44.6,3.6,8.86,3.01,-48.8,72.1,8.1
9,1,2,3,106,91,15,59.4,13.9,45.5,42.3,3.2,8.1,86.9,19,80.6,17.6,6.3,1.4,216,89.7,225.17,14,103.9,7.5,4.1,13.5,4.9,24,16,337,45,11,6,0.25,3,0.23,0.62,15.92,44,5.2,7.49,2.43,-14,69.4,9.3
10,1,2,1,172,154.4,17.6,90.6,13.4,77.2,73.7,3.5,9.49,94.6,20.6,84.3,18.4,10.3,2.3,204,84.7,259.5,18.6,113.6,8.5,2.9,16.4,5.5,23,21,622,71,12,16,0.48,3,0.25,0.49,30.13,41.8,3,8.76,4.06,-140.7,76.7,8.8
10,1,2,2,129.4,111,18.4,68,12.5,55.5,52.7,2.8,9.92,46.5,10.1,41.7,9.1,4.8,1,182.4,75.7,194.45,18.7,101.9,8.1,6.6,18.4,5.2,19,13,373,46,12,11,0.25,3,0.2,0.4,22.05,28.4,2.4,8.11,2.57,-48.3,72.7,9
10,1,2,3,170.9,145.8,25.1,89.8,16.9,72.9,69.5,3.4,13.54,63.6,13.9,57.3,12.5,6.4,1.4,283.2,117.5,280.25,18.7,100.9,6,6.8,18.5,5.6,25,31,340,45,12,16,0.25,6,0.24,0.5,15.4,22.3,3.7,7.56,2.52,5.8,67.4,8.9
11,1,2,1,129.2,119.6,9.6,66.2,6.4,59.8,56.2,3.6,5.2,89,19.4,79.7,17.4,9.3,2,278.4,115.6,271.49,18.5,98.6,15.4,1.8,18.8,4.5,26,23,357,46,10,8,0.25,5,0.21,0.66,15.5,35.5,4.9,7.76,2.6,-5.6,68.5,8.8
11,1,2,2,164.7,107.4,57.3,83.6,29.9,53.7,49.2,4.5,30.93,54.6,11.9,53.6,11.7,1,0.2,252,104.6,254.9,27.1,113.2,3.8,99.7,23.9,5.3,22,15,429,50,10,6,0.36,3,0.25,0.44,21.77,31.6,2.7,8.58,2.96,-54.2,72.6,8.5
11,1,2,3,148.2,119.6,28.6,84.7,24.9,59.8,57.4,2.4,15.43,79.2,17.3,73.3,16,5.9,1.3,223.2,92.6,246.75,16.7,116.5,4.7,8.3,14.3,4.2,21,15,407,56,12,6,0.3,3,0.24,0.46,22.05,44.4,3.9,7.27,2.87,-33.5,70.9,9.8
12,1,2,1,87.4,50.6,36.8,43.7,18.4,25.3,22,3.3,19.88,59.5,13,51.3,11.2,8.2,1.8,136.8,56.8,156.45,50.6,101.3,5.5,10.2,50,8.9,18,16,358,43,9,5,0.29,2,0.2,0.4,22.28,32.9,3.1,8.33,2.4,-63.3,74.6,9
12,1,2,2,62.2,62,0.2,31.1,0.1,31,26.7,4.3,0.1,55.2,12,46.7,10.2,8.5,1.9,187.2,77.7,166.25,24.6,111.6,1014.5,0,22,4.7,20,15,404,49,11,6,0.26,2,0.21,0.42,22.65,29.1,2.5,8.24,2.75,-60.1,73.5,8.9
12,1,2,3,122.7,88.6,34.1,68.5,24.2,44.3,41.5,2.8,18.44,79.7,17.4,71.4,15.6,8.2,1.8,148.8,61.8,194.66,20.7,117.4,4.8,7.1,17.6,4.7,21,15,472,64,12,6,0.35,3,0.2,0.52,25.52,43.3,3.3,7.38,3.18,-78.6,74.2,10.1
13,1,2,1,79.7,72.2,7.5,40.8,4.7,36.1,32.7,3.4,4.05,25.4,5.6,22.4,4.9,3,0.7,134.4,55.8,129.21,20.9,105.1,22.3,4.3,19.9,4.7,19,12,436,49,15,6,0.27,2,0.24,0.4,25.53,15.8,1.1,8.9,2.87,-92.2,76,8.5
13,1,2,2,106.3,82.6,23.7,56,14.7,41.3,38.6,2.7,12.82,35,7.6,32.5,7.1,2.5,0.5,170.4,70.7,168.44,21.5,106.6,7.2,16.3,20.2,5.8,18,12,400,44,18,6,0.28,3,0.21,0.46,24.67,23.7,1.8,9.09,2.69,-67.5,74.3,8.2
13,1,2,3,124.8,78,46.8,62.4,23.4,39,36.1,2.9,25.28,27.5,6,25.2,5.5,2.3,0.5,201.6,83.7,189.82,44,95,4.1,46.8,46.3,6.5,22,18,293,36,16,6,0.2,4,0.2,0.43,14.95,13.8,1.9,8.14,2.13,-6.5,68.8,8.4
1,2,1,1,52.8,36.8,16,26.4,8,18.4,16.8,1.6,8.65,75.9,16.6,66.4,14.5,9.5,2.1,189.6,78.7,175.71,44.4,160.3,20,3.2,27.7,8.4,83,69,402,73,10,5,0.29,33,0.62,0.99,5.72,9.5,3.6,5.5,3.2,57.9,63.4,11.5
1,2,1,2,57,36.8,20.2,28.5,10.1,18.4,17.9,0.5,10.92,31.8,6.9,30.2,6.6,1.6,0.3,120,49.8,113.53,43.3,153,15.1,25.3,28.3,8.4,79,64,395,59,10,3,0.25,35,0.44,0.53,5.75,4.6,1.7,6.7,2.9,6.4,67.5,10.1
1,2,1,3,28.1,13.2,14.9,19.2,12.6,6.6,6.1,0.5,8.04,40.7,8.9,40.3,8.8,0.4,0.1,132,54.8,109.86,22.2,150.5,11.9,63.1,14.8,6.5,100,74,336,50,9,3,0.2,27,0.41,0.45,3.86,5.1,2.6,6.7,2.6,47,63.6,9.5
2,2,1,1,39.4,14.6,24.8,19.7,12.4,7.3,6.2,1.1,13.4,45.7,10,45.3,9.9,0.4,0.1,110.4,45.8,107.94,39.3,151,12.2,124.1,26,8.2,88,65,420,74,7,3,0.26,27,0.63,0.79,5.61,6.5,2.4,5.7,3.2,27.1,65.9,11.6
2,2,1,2,35.6,20.2,15.4,21.1,11,10.1,9.4,0.7,8.3,30.5,6.7,28.9,6.3,1.7,0.4,96,39.8,88.67,24.6,141,12.8,15.7,17.4,6.4,94,63,350,58,9,3,0.2,27,0.44,0.86,4.34,4,1.8,6,2.7,39.8,64.3,10.7
